year,month,nao,nino34,amo,scand,nino34_cpc,pdo,nao_lag0,nao_lag1,nao_lag2,nao_lag3,nao_lag6,nino34_lag0,nino34_lag1,nino34_lag2,nino34_lag3,nino34_lag6,amo_lag0,amo_lag1,amo_lag2,amo_lag3,amo_lag6,scand_lag0,scand_lag1,scand_lag2,scand_lag3,scand_lag6,nino34_cpc_lag0,nino34_cpc_lag1,nino34_cpc_lag2,nino34_cpc_lag3,nino34_cpc_lag6,pdo_lag0,pdo_lag1,pdo_lag2,pdo_lag3,pdo_lag6
2018,6,1.41,27.77,-0.034,-0.77,0.04,-0.769,1.3574502453190769,1.9492952914669122,1.1531635852363467,-1.3415765669446629,0.6985232625582253,0.7158369367867549,0.6741097122680334,0.25828481336106013,-0.5605692224629608,-1.404923088875388,-0.25686213490492205,-0.20145549139239063,0.10657761465496239,0.4360802742406265,1.5582917430178085,-0.7671407904085014,1.7333423830947947,0.3400457125661877,-0.8058944309756781,-0.473372684348561,0.08495854323289996,-0.1814946164044006,-0.5250118449721036,-0.8448578583821876,-1.040234236700641,-0.7481684906161167,-0.42774637861045683,-0.5224972229993213,-0.7578799992207099,-0.3014220464545147
2018,7,1.42,27.42,-0.005,2.27,0.12,-0.191,1.3671452267227424,1.3582425024663247,1.9468148135092216,1.153999311970237,1.1245744799529815,0.37194841206602475,0.7134536867793777,0.6717008570957317,0.25621813671111016,-1.4540102229634086,-0.11906708244946937,-0.2538012634706203,-0.1983857237386829,0.11113307058472983,0.6429972037601916,2.32608087728912,-0.7675338842475838,1.7312441504239626,0.34042449289287724,0.4596195234533278,0.17299026597597483,0.08262402055311201,-0.18383507002271954,-0.5259320591894783,-1.040234236700641,-0.1998269720734319,-0.7480737482745569,-0.4287435233023376,-0.5232185537464045,0.012686762041850708
2018,8,2.4,26.94,0.09,-1.05,0.09,-0.08,2.317253404281957,1.3679318924499408,1.3564157290623269,1.9471668393772985,1.289185177582774,-0.0996701361224084,0.36919390980510947,0.7110738136418899,0.6695322220763053,-1.0613131502592497,0.33233050318046176,-0.1157987734461966,-0.2508012975250907,-0.19469959167964357,0.11586422303590993,-1.0520427861174928,2.3229798770210466,-0.7668201978462027,1.7302093828928071,0.4494783038033072,0.13997836994732174,0.1706635662056162,0.08030178800261013,-0.18501137729382358,-0.8209582563965377,-0.09452263200727613,-0.20029499186671718,-0.7488319121667868,-0.42954321865787115,-0.33349321609078025
2018,9,1.78,27.19,0.139,-0.74,0.47,-0.199,1.7161645572546986,2.317492110844327,1.3660944025778499,1.3571275811842405,-1.3445859844939017,0.14596452439240032,-0.1029337843310332,0.3665604438630004,0.7088954683015609,-0.5606243825614438,0.5651566262948474,0.3362783490476053,-0.11261478481547017,-0.24726458050633274,0.4465203654902321,-0.736615576582538,-1.0521864675223263,2.3202186715608315,-0.7653167699537823,-0.8080329327992387,0.5581290529769274,0.13764873658592713,0.16834740734438666,0.07892721514152201,-0.8428858544269481,-0.20741647406018185,-0.0950987254977376,-0.20146182706722587,-0.7493640596672069,-0.7570213092285222
2018,10,1.53,27.62,0.121,-1.11,0.9,-0.527,1.4737900221630624,1.7167499318601238,2.3146044070990905,1.3668003559087167,1.1536234265935332,0.5684561404778711,0.14296605636487422,-0.10591503469090846,0.36446706383056854,0.25422204329968734,0.4796286627018077,0.5694549701233558,0.34006517061259706,-0.10868415541778854,0.12065634104249431,-1.1130932137694196,-0.7370353931824328,-1.0511527252915875,2.3185854677102955,0.33792488765308143,1.031299562720955,0.5558365784353221,0.13533030009122046,0.16690674595330385,-0.5249356829859986,-0.5185860555169303,-0.20787670475817518,-0.09634404255848669,-0.20245149723112393,-0.5230904248228206
2018,11,-0.25,27.61,-0.143,1.89,0.9,-0.671,-0.25191666768938814,1.4745151822697191,1.714526649136673,2.3147322789074,1.9476279681019428,0.5586307540572771,0.5659137823618346,0.14016594372258553,-0.10789189087251005,0.6665539696390574,-0.7747814699961061,0.48379825217716166,0.5735527265702318,0.3452862026308907,-0.186039211378906,1.9394281688269175,-1.113183449652628,-0.7363559984770544,-1.0493603971070526,1.727271979705894,1.031299562720955,1.029049136317532,0.5535469919646591,0.13391442189888567,-0.18505791351463868,-0.6551970912784296,-0.5187269333079527,-0.20903788360839629,-0.09742157607125336,-0.42970672499957685
2018,12,0.48,27.49,-0.083,1.35,0.89,-0.328,0.45581697477818983,-0.250196234813963,1.4725598112486014,1.7150202459898658,1.3569660530773942,0.440726117010168,0.5560777887339968,0.5634252265937949,0.13812839803534316,0.7058236769094726,-0.4896882580193076,-0.7725002777003509,0.48778178764701896,0.5794393346770517,-0.23875250945133417,1.3899743199595769,1.9366656568624676,-1.1120811240298842,-0.7348835241873605,-0.7674680541991565,1.0202955973780705,1.029049136317532,1.0267921959267081,0.5518171932548495,0.07807326285028512,-0.329797193596525,-0.6551977653541966,-0.5196562017963824,-0.2100212212786822,-0.7485318819718637
2019,1,0.18,27.19,-0.037,-0.09,0.65,-0.382,0.1649675326682263,0.4571292339900189,-0.2502440745144691,1.4732008778779568,1.3666490352909113,0.14596452439240032,0.4380458651999603,0.5535819874572536,0.5612832949568504,0.36221373829333436,-0.27111679550376194,-0.48697788454637075,-0.7701919832267677,0.49342389841519657,-0.09978108726038716,-0.07523594368666496,1.3876928176897507,1.9343388128849517,-1.1102268886398965,2.315462719407085,0.7562004291488459,1.0180441931109692,1.0267921959267081,1.024707171368177,0.16578365497192638,-0.38102633200708724,-0.33013182513293526,-0.6560252195374495,-0.5203799072285701,-0.20332199815534951
2019,2,-0.11,27.46,0.058,-0.4,0.71,-0.497,-0.11618692803807179,0.16644753448153318,0.4562990921187002,-0.24855302307883462,2.315581292215596,0.4112499577483933,0.14296605636487422,0.4354631178187755,0.5514424834005347,-0.10902274895165849,0.18028079012616918,-0.2680773831283193,-0.4842888534827254,-0.7681358334253435,0.3554701233651289,-0.3906631532216199,-0.07623475343749547,1.3859832242402814,1.9330976880022859,-1.0514222043997314,0.822224221206152,0.7539255561534565,1.015786493508986,1.024707171368177,0.1328922579263109,-0.49012542306661794,-0.38130838715027665,-0.33120179533476884,-0.6566349400846184,-0.0986190619898944
2019,3,0.89,28.09,0.099,-0.93,0.81,-0.314,0.8533112123284734,-0.11454477504333632,0.1659388866530142,0.4575595318079394,1.7152363949775304,1.0302493022457102,0.4085378843164538,0.14016594372258553,0.4333527447247642,0.13641292148844175,0.3750944849769816,0.18399973936548258,-0.2650964540122928,-0.48141771255249366,0.5902839056877636,-0.9299419308136394,-0.39138582777738873,-0.07629834547883989,1.3852992642066932,-0.7370443952490949,0.9322638746349957,0.8199552153928346,0.7516496354836564,1.0137097300167044,0.549516620504107,-0.31651556511971257,-0.4902955099649853,-0.382340176987669,-0.3320830215455588,-0.21086815571682377
2019,4,0.36,28.44,0.101,2.09,0.62,0.196,0.33947719793420444,0.8543942233182827,-0.11474264529714893,0.16737629007364868,1.4731618396396007,1.374137826966444,1.0282054828701395,0.4059334004091586,0.13812839803534316,0.5585622746454139,0.3845975920428749,0.37910670802070234,0.18758350141577443,-0.26160048654997525,0.5040257815692447,2.14292959433334,-0.9301925032617223,-0.391095072293373,-0.07549653258155435,-1.1122695222998547,0.7231885331201928,0.9300046474584649,0.8176838499899887,0.7497711375813587,1.0209599781579288,0.16731518653559754,-0.3168638275728838,-0.4912459897669934,-0.3831786588665769,-0.5202606157372678
2019,5,-2.38,28.48,0.065,-0.11,0.55,0.326,-2.3169477066701294,0.34085655418662464,0.8531247062551378,-0.11313417693616563,-0.2504089943664594,1.4134393726488124,1.3724652598444114,1.0260574660111625,0.4038303100558242,0.5487448478278083,0.2135416648567957,0.388624121125835,0.38295064007420343,0.19236987149870402,-0.7610933721690315,-0.09558608623730722,2.1399889306301407,-0.929295927814994,-0.38997340550124654,1.9300963727063045,0.6461607757200023,0.7209107265337674,0.9277408741672095,0.815755785690195,1.0209599781579288,0.29064459382028446,0.16647036925756306,-0.31794369638772063,-0.49199344205022666,-0.6560914518438042
