date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
2006-12,2006,12,31,2,4,1,true
2007-01,2007,1,31,2,4,1,true
2007-02,2007,2,28,2,4,1,true
2007-03,2007,3,31,2,4,1,true
2007-04,2007,4,30,2,3,1,true
2007-05,2007,5,31,2,4,1,true
2007-06,2007,6,30,2,4,1,true
2007-07,2007,7,31,2,4,1,true
2007-08,2007,8,31,2,4,1,true
2007-09,2007,9,30,2,4,1,true
2007-10,2007,10,31,1,3,1,true
2007-11,2007,11,30,2,4,1,true
2007-12,2007,12,31,2,4,1,true
2008-01,2008,1,31,2,4,1,true
2008-02,2008,2,29,2,4,1,true
2008-03,2008,3,31,2,4,1,true
2008-04,2008,4,30,2,4,1,true
2008-05,2008,5,31,2,3,1,true
2008-06,2008,6,30,2,4,1,true
2008-07,2008,7,31,2,4,1,true
2008-08,2008,8,31,2,4,1,true
2008-09,2008,9,30,2,4,1,true
2008-10,2008,10,31,2,4,1,true
2008-11,2008,11,30,1,3,1,true
2008-12,2008,12,31,2,4,1,true
2009-01,2009,1,31,2,4,1,true
2009-02,2009,2,28,2,4,1,true
2009-03,2009,3,31,2,4,1,true
2009-04,2009,4,30,2,3,1,true
2009-05,2009,5,31,2,4,1,true
2009-06,2009,6,30,2,4,1,true
2009-07,2009,7,31,2,4,1,true
2009-08,2009,8,31,2,4,1,true
2009-09,2009,9,30,2,4,1,true
2009-10,2009,10,31,1,3,1,true
2009-11,2009,11,30,2,4,1,true
2009-12,2009,12,31,2,4,1,true
2010-01,2010,1,31,2,4,1,true
2010-02,2010,2,28,2,4,1,true
2010-03,2010,3,31,2,4,1,true
2010-04,2010,4,30,2,3,1,true
2010-05,2010,5,31,2,4,1,true
2010-06,2010,6,30,2,4,1,true
2010-07,2010,7,31,2,4,1,true
2010-08,2010,8,31,2,4,1,true
2010-09,2010,9,30,2,4,1,true
2010-10,2010,10,31,1,3,1,true
2010-11,2010,11,30,2,4,1,true
2010-12,2010,12,31,2,4,1,true
2011-01,2011,1,31,2,4,1,true
2011-02,2011,2,28,2,4,1,true
2011-03,2011,3,31,2,4,1,true
2011-04,2011,4,30,2,3,1,true
2011-05,2011,5,31,2,4,1,true
2011-06,2011,6,30,2,4,1,true
2011-07,2011,7,31,2,4,1,true
2011-08,2011,8,31,2,4,1,true
2011-09,2011,9,30,2,4,1,true
2011-10,2011,10,31,1,3,1,true
2011-11,2011,11,30,2,4,1,true
2011-12,2011,12,31,2,4,1,true
2012-01,2012,1,31,2,4,1,true
2012-02,2012,2,29,2,4,1,true
2012-03,2012,3,31,2,4,1,true
2012-04,2012,4,30,2,4,1,true
2012-05,2012,5,31,2,3,1,true
2012-06,2012,6,30,2,4,1,true
2012-07,2012,7,31,2,4,1,true
2012-08,2012,8,31,2,4,1,true
2012-09,2012,9,30,2,4,1,true
2012-10,2012,10,31,2,4,1,true
2012-11,2012,11,30,1,3,1,true
2012-12,2012,12,31,2,4,1,true
2013-01,2013,1,31,2,4,1,true
2013-02,2013,2,28,2,4,1,true
2013-03,2013,3,31,2,4,1,true
2013-04,2013,4,30,2,3,1,true
2013-05,2013,5,31,2,4,1,true
2013-06,2013,6,30,2,4,1,true
2013-07,2013,7,31,2,4,1,true
2013-08,2013,8,31,2,4,1,true
2013-09,2013,9,30,2,4,1,true
2013-10,2013,10,31,1,3,1,true
